Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,C_0805_2012Metric,53.34,-28.956,180,top
C3,10uF,C_0805_2012Metric,37.8206,-25.4356,270,top
C4,10uF,C_0805_2012Metric,30.0736,-22.1234,90,top
D1,D_Schottky,D_SOD-128,35.6362,-21.9202,180,top
D2,LED,LED_0805_2012Metric,32.3088,-32.3596,180,top
L1,22 uH,L_TDK_NLV32_3.2x2.5mm,33.909,-25.2476,180,top
R1,3.16k,R_0805_2012Metric,34.7472,-28.5242,0,top
R2,1k,R_0805_2012Metric,37.8206,-29.21,270,top
R3,1k,R_0805_2012Metric,36.1188,-32.3596,0,top
